Header;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"-----GENERAL INFORMATION-----";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Cycle number";9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51
"Session number";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Firmware checksum";0xA847;0xA847;0xA847;0xA847;0xA847;0xA847;0xA847;0xA847;0xA847;0xA847;0xA847;0xA847;0xA847;0xA847;0xA847;0xA847;0xA847;0xA847;0xA847;0xA847;0xA847;0xA847;0xA847;0xA847;0xA847;0xA847;0xA847;0xA847;0xA847;0xA847;0xA847;0xA847;0xA847;0xA847;0xA847;0xA847;0xA847;0xA847;0xA847;0xA847;0xA847;0xA847;0xA847
"Float serial number";23001;23001;23001;23001;23001;23001;23001;23001;23001;23001;23001;23001;23001;23001;23001;23001;23001;23001;23001;23001;23001;23001;23001;23001;23001;23001;23001;23001;23001;23001;23001;23001;23001;23001;23001;23001;23001;23001;23001;23001;23001;23001;23001
"-----EMERGENCE REDUCTION-----";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Day;15;25;5;15;25;5;15;26;5;15;25;6;16;26;5;15;26;5;15;25;6;17;27;6;16;26;7;17;27;6;16;27;7;17;27;7;17;27;6;16;27;7;17
Month;8;8;9;9;9;10;10;10;11;11;11;12;12;12;1;1;1;2;2;2;3;3;3;4;4;4;5;5;5;6;6;6;7;7;7;8;8;8;9;9;9;10;10
Year;23;23;23;23;23;23;23;23;23;23;23;23;23;23;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24
"Cycle day (day)";73;83;94;104;114;124;134;145;155;165;175;186;196;206;216;226;237;247;257;267;277;288;298;308;318;328;339;349;359;369;379;390;400;410;420;431;441;451;461;471;482;492;502
"Cycle hour (h)";17.3167;22.3167;3.15;8.25;13.5167;18.5;23.35;4.58333;9.6;14.55;19.6;0.466666;5.56666;10.4833;15.5833;20.5667;1.11667;6.23333;11.25;16.2;21.2;2.4;7.26666;12.3667;17.3667;22.3667;3.46667;8.35;13.3833;18.3833;23.2833;4.5;9.31666;14.4333;19.5;0.4;5.38333;10.4167;15.35;20.35;1.3;6.4;11.4
"Fix volume (second)";280;288;304;296;288;312;312;272;312;328;304;336;312;336;328;328;320;352;320;320;304;312;320;288;304;304;296;320;304;304;296;304;312;320;320;320;312;336;336;320;320;312;320
"Number of valve actions at the surface";16;17;14;14;22;15;10;20;17;12;19;13;18;14;15;14;19;12;16;16;16;16;11;17;15;15;18;13;16;14;18;17;16;15;15;14;18;15;13;15;14;16;15
