Header;4;4;4
"-----GENERAL INFORMATION-----";;;
"Cycle number";27;0;0
"Session number";0;0;0
"-----DATA INFORMATIONS-----";;;
"Number of descent CTDO messages";0;0;0
"Number of drift CTDO messages";2;0;0
"Number of ascent CTDO messages";106;0;0
"Number of near surface CTDO messages";1;0;0
"Number of in air CTDO messages";1;0;1
"Number of descent slices in shallow zone";0;0;0
"Number of descent slices in deep zone";0;0;0
"Number of CTDO measurements in drift";18;0;0
"Number of ascent slices in shallow zone";1005;0;0
"Number of ascent slices in deep zone";154;0;0
"Number of CTDO measurements near surface";10;0;0
"Number of CTDO measurements in air";10;0;10
"-----SUBSURFACE POINT-----";;;
"Sub-Surface pressure (dbar)";1000.000000;1000.000000;1000.000000
"Sub-Surface temperature (°C)";0;0;0
"Sub-Surface salinity (PSU)";0;0;0
"Sub-Surface C1Phase DO (°)";0;0;0
"Sub-Surface C2Phase DO (°)";0;0;0
"Sub-Surface Temperature DO (°)";0;0;0
"-----GROUNDING PHASE-----";;;
"Grounding counter";0;0;0
"First grounding : Pressure (dbar)";0;0;0
"First grounding : Day relative to cycle beginning";0;0;0
"First grounding : Hour at grounding (h)";0;0;0
"First grounding : Phase (2=RE 3=DescPark 4=DriftPark 5=DescPrf 6=DriftPrf)";0;0;0
"First grounding : EV activation count";0;0;0
"Second grounding : Pressure (dbar)";0;0;0
"Second grounding : Day relative to cycle beginning";0;0;0
"Second grounding : Hour at grounding (h)";0;0;0
"Second grounding : Phase (2=RE 3=DescPark 4=DriftPark 5=DescPrf 6=DriftPrf)";0;0;0
"Second grounding : EV activation count";0;0;0
"-----EMERGENCY ASCENT PHASE-----";;;
"Emergency ascent number";0;0;0
"1st Emergency ascent time (h)";0;0;0
"1st Emergency pressure (dbar)";0;0;0
"Number of pump actions in emergency ascent";0;0;0
"1st Emergency ascent relative day (to 1st cycle day)";0;0;0
"-----IRIDIUM REMOTE CONTROL-----";;;
"Number of files received";0;0;0
"Number of file rejected";0;0;0
"Number of command received";0;0;0
"Number of command rejected";0;0;0
"-----LAST IRIDIUM SESSION-----";;;
"Session duration (second)";594;0;40
"Nb of SBDI on Rx";1;0;1
"Nb of SBDI on Tx";40;0;1
-----OTHERS-----;;;
"Number of pump to lift-off";2;0;0
"Internal pressure on ascent (mbar)";635;0;0
"Last reset : hour";12;15;15
"Last reset : minute";3;38;38
"Last reset : second";3;42;42
"Last reset : day";3;10;10
"Last reset : month";6;3;3
"Last reset : year";23;24;24
"Autotest result";1;0;1
""
"Autotest detail : Checksum";1;0;1
"Autotest detail : Iridium";1;0;1
"Autotest detail : DO";0;0;0
"Autotest detail : SBE Fast Pressure";1;0;1
"Autotest detail : SBE Power control";1;0;1
"Autotest detail : EV";1;0;1
"Autotest detail : Pump";1;0;1
"Autotest detail : Vbat";1;0;1
"Autotest detail : Int. Vac.";1;0;1
"Autotest detail : CPU";1;0;1
"Parameters state flag (0=Error 1=Ok)";1;1;1
"Ballast empty flag (1=Empty)";0;0;0
"SBE Power Control default (0=Ok 1=TimeOut 2=FrameHS)";0;0;0
"SBE Fast Pressure default (0=Ok 1=TimeOut 2=FrameHS)";0;0;0
"Phase of SBE default";255;255;255
"Hydraulic type (0=ARVOR 1=PROVOR 2=DEEP)";0;0;0
""
"Ice detection : Ascent hanging";0;0;0
"Ice detection : Satellite mask";0;0;0
"Ice detection : ISA";0;0;0
"Autotest detail : Int.Vac. (mbar)";565;570;570
"Autotest detail : Int.Vac.Threshold (mbar)";620;620;620
"RBR CTD Serial Number";212447;212447;212447
"Min salinity In Air measurement (PSU)";0.188;0.000;0.104
""
""
""
